車次,站點1,站點2,站點3,站點4,站點5,站點6,站點7,站點8,站點9,站點10,站點11,站點12,站點13,站點14,站點15,站點16,站點17,站點18,站點19,站點20,站點21,站點22,站點23,站點24,站點25,站點26,站點27,站點28,站點29,站點30,站點31,站點32,站點33,站點34,站點35,站點36,站點37,站點38,站點39,站點40,站點41,站點42,站點43,站點44,站點45,站點46,站點47,站點48,站點49,站點50,站點51,站點52,站點53,站點54,站點55,站點56,站點57,站點58,站點59,站點60,站點61,站點62,站點63,站點64,站點65,站點66,站點67,站點68,站點69,站點70,站點71,站點72,站點73,站點74,站點75,站點76,站點77,站點78,站點79,站點80,站點81,站點82,站點83,站點84,站點85,站點86,站點87,站點88,站點89,站點90,站點91,站點92,站點93,站點94,站點95,站點96,站點97,站點98,站點99,站點100,站點101,站點102,站點103,站點104,站點105,站點106,站點107,站點108,站點109,站點110,站點111,站點112,站點113,站點114,站點115,站點116,站點117,站點118,站點119,站點120,站點121,站點122,站點123,站點124,站點125,站點126,站點127,站點128,站點129,站點130,站點131,站點132,站點133,站點134,站點135,站點136,站點137,站點138,站點139,站點140,站點141,站點142,站點143,站點144,站點145,站點146,站點147,站點148,站點149,站點150,站點151,站點152,站點153,站點154,站點155,站點156,站點157,站點158
206D,桃園總站,建國路口,桃花園飯店,桃園郵局,永和市場,成功國小,永安路口,九崁店,民安路口,力行路口,蓮華寺,永安溫州街口,南埔里活動中心,永安北路,埔子,中埔國小,星見橋,十三號坡,三和公司,八角店(開南大學),富吉,八股坡,宏邦大鎮,上大竹,大竹,蘆竹親子館(大竹),胡厝,廟前,廟後,新莊國小,游厝,中厝,洪厝,中油街,寶聰牧場,鍾厝,高鐵桃園站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206E,桃園總站,建國路口,桃花園飯店,桃園郵局,永和市場,成功國小,永安路口,九崁店,民安路口,力行路口,蓮華寺,永安溫州街口,南埔里活動中心,永安北路,埔子,中埔國小,星見橋,十三號坡,三和公司,八角店(開南大學),開南大學,富吉,八股坡,宏邦大鎮,上大竹,大竹,蘆竹親子館(大竹),胡厝,廟前,廟後,新莊國小,游厝,中厝,洪厝,中油街,寶聰牧場,鍾厝,高鐵桃園站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,統領百貨,成功路,民生成功路口,復興橋,東山里,萬壽山鶯路口,山鶯萬壽路口,明碁電腦,山鶯中興路口,中興路口,國光巷,山鶯明興街口,明興街,吳厝,福德宮,明興街口,貿易一村,幸福活動中心,幸福一街,幸福七街,幸福十五街,幸福二十三街,幸福二十九街,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,統領百貨,桃園郵局,永和市場,中正三民路口,中正商業大樓,北埔路口,中正信光街口,中正慈文路口,慈文國中,中正藝文特區,行政執行處,中正同德十一街口,莊敬路口,莊敬中正路口,尊爵飯店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,統領百貨,桃園郵局,永和市場,中正三民路口,中正商業大樓,北埔路口,中正信光街口,中正慈文路口,慈文國中,大興西新埔六街口,新埔公園,同安親子公園,永昌新城,同安國小,尊爵飯店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,桃園公車站,成功路,關帝廟,中山路口,景福宮,中山路,中山南華街口,中山三民路口,中山育樂街口,桃園市政府,土地改革館,中山正光路口,中平宏昌一街口,亞洲電台,護理之家,宏昌十二街,國聖一街,國際大郡,國際京城,中山國小,中德里,中德里市民活動中心,中山里活動中心,大湳給水廠,國際名邸社區(護國宮),龍吟社區,崇德社區,國際路口,福國北街,陸光國宅,大智公園路口,陸光四村,大湳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,中壢公車站,第一銀行,第一市場,河川教育中心,舊社,新明國中(民族路),廣興,仁愛新村,青果市場,五權,祐民醫院,高雙里,三民五興路口,土地公廟,三民中正路口,中央大學正門,中央大學警衛室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,中央大學警衛室,中大湖,中央大學依仁堂,中央大學後門,中央大學觀景台,中央大學正門,潤泰公司,三座厝,三民里,崎頂,三宏,水圳頭,內厝,聖德路口,領航南文德路口,領航南公園路口,青埔,青埔致遠一路口,中厝,高鐵桃園站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112S,中壢公車站,中壢分局,中北路口,龍岡橋,健行科技大學,龍岡國小,中興莊,頂石頭,龍仁龍泉街口,馬祖新村,龍岡森林公園,游泳路口,伯公廟,龍江公寓,龍岡圓環,供應站,龍東路,貿易七村,忠貞,龍文街口,基安二村,龍東中山東路口,龍文街正義路口,富台,富台國小,電信器材場,仁美,龍慈路口,六泰新村,金鋒市場,普仁國小,榮民服務處,環中東路口,普仁新村,普仁(中原夜市),中山東中北路口,中山東路口,埔頂橋,中央市場,中壢農會,中壢公車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,中壢公車站,中壢農會,中央市場,埔頂橋,中山東路口,中山東中北路口,中原國小,中原大學全人村,中原大學信實宿舍,營頭厝,仁愛社區,功學社區,仁愛里,新中北華美路口,幸福新村,篤行六村,榮民工廠,中正國小,群益幼稚園,篤行五村,興仁公園,興仁國小,元智大學,元智三館,哲學之道,元智二館,元智一館,元智大學,內壢,內壢火車站,內壢家樂福,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,中壢公車站,中壢農會,中央市場,埔頂橋,中山東路口,中山東中北路口,中原國小,中原大學全人村,中原大學信實宿舍,六和汽車,福德宮,環中愛樂,環中榮安一街口,陸光五村,自強公園,陸光國宅,普騰街口,大學校園,自立社區C區,日月光公司,上內壢,內壢火車站,內壢,元智大學,元智三館,哲學之道,元智二館,元智一館,元智大學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,中壢客運中壢總站,中壢農會,中央市場,埔頂橋,中山東路口,中原國小,中原大學全人村,中原大學信實宿舍,營頭厝,仁愛社區,功學社,榮民南路,華勛五村,華勛街141巷,華勛園,華富新村,華勛四村,福德宮,幸福新村,篤行六村,榮民工廠,中正國小,篤行五村,中正福德宮,榮安十三街,榮安五街口,環中愛樂,環中榮安一街口,陸光五村,自強國中,興仁永強街口,內壢火車站,上內壢,日月光公司,自立新村,內壢國中,中壢工業區,中原,台灣拉鍊,中壢簡易庭,中壢聯合辦公大樓,新街,中壢監理站,中央東路,中壢客運中壢總站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167A,中壢客運中壢總站,中壢監理站,新街,中壢聯合辦公大樓,中壢簡易庭,台灣拉鍊,中原,中壢工業區,內壢國中,自立新村,日月光公司,上內壢,內壢火車站,興仁永強街口,自強國中,陸光五村,環中榮安一街口,環中愛樂,榮安五街口,榮安十三街,中正福德宮,篤行五村,中正國小,榮民工廠,篤行六村,幸福新村,福德宮,華勛四村,華富新村,華勛園,華勛街141巷,華勛五村,榮民南路,功學社,仁愛社區,營頭厝,中原大學信實宿舍,中原大學全人村,中原國小,新中北路口,中山東路口,埔頂橋,中央市場,中壢農會,中壢客運中壢總站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,中壢公車站,第一銀行,大同路,永珍,新生路,中美路,中壢監理站,新街,中壢聯合辦公大樓,中壢簡易庭,台灣拉鍊,中原,中壢工業區,內壢國中,自立新村,日月光公司,上內壢,內壢火車站,永強路口,自強國中,自強公園,陸光國宅,普騰街口,大學校園,永福市場,榮安一街,陸光國宅,莊敬富國街口,精忠國宅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,中壢公車站,中壢農會,中央市場,埔頂橋,中山東路口,中山東中北路口,普仁(中原夜市),普仁新村,環中東路口,榮民服務處,普仁國小,金鋒市場,六泰新村,龍慈路口,仁美,電信器材場,富台國小,富台,北區健保署(榮民南路),萬寶龍社區,榮民南路,榮民南華勛街口,榮民南仁慈路口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169A,中壢公車站,中壢農會,中央市場,埔頂橋,中山東路口,中山東中北路口,普仁(中原夜市),普仁新村,環中東路口,榮民服務處,普仁國小,金鋒市場,六泰新村,龍慈路口,仁美,電信器材場,富台國小,富台,北區健保署(榮民南路),萬寶龍社區,榮民南路,榮民南龍東路口,仁美里,榮美社區,土地公,華勛市場,華勛街141巷,華勛五村,榮民南路一,華勛國小,榮民南路65巷口,連都社區,榮安十三街,紅透天社區,中正國小,榮民路165巷口,自強國中,永強街口,內壢火車站,文化路元生二街口,文成北街口,甲蟲公園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,中壢公車站,中央延平路口,中央新生路口,新生路,中美路口,SOGO百貨(新生路),中壢區公所,環北新生路口,捷運環北站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,捷運環北站,中豐路,興國市場,中山中平路口,中壢農會,中央市場,埔頂橋,中山東路口,中山東中北路口,普仁(中原夜市),普仁新村,環中東路口,退輔會,普仁國小,金鋒市場,六泰新村,龍慈路口,仁美,麗寶麗池,美食天地,龍川街,謙德新村,伍祥社區,水利會,太子鎮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,中壢公車站,中央延平路口,中央新生路口,SOGO百貨(新生路),興國市場,光明公園,勞保局(國民運動中心),中壢高中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,中壢公車站,中壢分局,中壢國中(延平路),新勢國小(新勢公園),育英路口,育達高中,大伯公,復旦中學,羅曼蒂社區,聯新國際醫院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,統領百貨,民族路口,中華南華街口,中山南華街口,桃園國中,中正三民路口,中正商業大樓,北埔路口,中正信光街口,中正慈文路口,慈文國中,城市大亨,中埔一街口,中埔二街,同德七街口,中國龍社區,南平路口,寶慶安慶街口,中國江山,日昇大道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117A,統領百貨,民族路口,中華南華街口,中山南華街口,桃園國中,中正三民路口,中正商業大樓,北埔路口,中正信光街口,中正慈文路口,慈文國中,城市大亨,中埔一街口,呂祖聖殿,同德環保公園,南平路口,寶慶安慶街口,中國江山,日昇大道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,桃園巨蛋,萬壽山鶯路口,東山里,桃園公車站,南華復興街口,南華街,中山南華街口,中山三民路口,中山育樂街口,廈門正光路口,文山國小,國際路二段,國強一街口,迪斯奈社區,上海路口,龍安街口,合作金庫,龍安市場,桃園戶政事務所,消防隊,國豐六街口,藝術名廈,波特曼花園廣場,龍安國小一,銀河餐廳,新興,崇友站,福興,呂厝,果菜市場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,桃園公車站,南華復興街口,南華街口,三民建國路口,三民介壽路口,桃園監理站,利台,力行街口,無線電台,小大湳,忠勇西街站(G05),廣豐新天地,陸光四村,大湳站(G04),瑞祥社區,鴻昌社區,麻園站(G03),梅花社區,欣桃社區,松柏園,瑞豐國小(桃園防災教育館),瑞發家園,更寮腳(興豐路),聯福巷,興豐友聯街口,八德國中,八德區公所(農會),福興社區,廣興仁德路口,福爾摩沙社區,廣興國小,新興路口,廣興路980巷,永豐南路,元聖宮,寶豐街口,聯明街口,泰豐街口,國聯街口,新興高中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,中壢公車站,中央延平路口,中央新生路口,新生路,中美路口,SOGO百貨(新生路),興國市場,柑園,捷運環北站,環北新生路口,中壢區公所,土地公廟,福安三街口,中福市場,中園福州二街口,曦園社區,忠福國小,啟英高中,幸葉公司,憶華公司,內壢國中,復華街,長春路,文成北街口,鍾愛社區,福華街口,內壢高中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,桃園總站,聖保祿醫院,建國路,介壽建國路口,介壽保羅街口,桃園監理站,利台,力行街口,大福街口,大地花園,東培公司,大明街口,桃德路,中德里,永福西街,陸光國宅,福國北街,廣福路口,廣福路389巷,廣福路530巷,中祥食品,廣興路口,元聖宮,寶豐街口,聯明街口,泰豐街口,國聯街口,新興高中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,中壢公車站,中壢分局,和平市場,平鎮區公所(和平路),紫雲宮,金山街口,北勢新村,平鎮高中,第一製藥廠,非常大地,新貴里,李屋,下王屋,王屋,長壽新村,南京路口,福德祠,平鎮分局,中庸路口,長沙街口,上海路口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115B,中壢公車站,中壢分局,和平市場,平鎮區公所(和平路),紫雲宮,金山街口,北勢新村,北興加油站,北勢國小,北勢,正義街口,獅子林,金陵華城,北富里,慈惠堂,柑子園,曾家莊,桃園纖維,東勢,臺北商業大學(桃園校區),東勢,東勢國小,建安宮,下東社,平東加油站,冠興新村,龍岡醫院,社子,東安國中,東安國小,平東路,平等路口,忠貞國小,龍南路,配銷中心,龍岡圓環,龍江公寓,伯公廟,游泳路口,龍岡森林公園,馬祖新村,龍仁龍泉街口,頂石頭,中興莊,龍岡國小,健行科技大學,龍岡橋,中北路口,中壢分局,中壢公車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115A,中壢公車站,中壢分局,中北路口,龍岡橋,健行科技大學,龍岡國小,中興莊,頂石頭,龍仁龍泉路口,馬祖新村,龍岡森林公園,游泳路口,伯公廟,龍江公寓,龍岡圓環,配銷中心,龍南路,忠貞國小,平等路口,平東路,東安國小,東安國中,社子,龍岡醫院,冠興新村,平東加油站,下東社,建安宮,東勢國小,東勢,臺北商業大學(桃園校區),東勢,桃園纖維,曾家莊,柑子園,慈惠堂,北富里,金陵華城,獅子林,正義街口,北勢,北勢國小,北興加油站,北勢新村,金山街口,紫雲宮,平鎮區公所(和平路),和平市場,中壢分局,中壢公車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,桃園巨蛋,萬壽山鶯路口,東山里,桃花園飯店,新光大樓,台電大樓,振聲中學,土地改革館,中山正光路口,中山中平路口,中山國小,武陵高中,宏太社區,茄苳溪,明光社區,中華路,高城居易社區,龍祥里,中華龍壽街口,桃園醫院,漁管處,內壢,內壢火車站,上內壢,日月光公司,自立新村,內壢國中,中壢工業區,南園路口,中原,台灣拉鍊,中壢簡易庭,中壢聯合辦公大樓,新街,中壢監理站,延平中山路口,中壢分局,中壢家商,新勢國小(新勢公園),水利會,平安新村,大昌路口,宋屋,新光,六房,掬水軒,自來水廠,平鎮新村,仁美路,埔心火車站,永美,四維新村,瑞塘里,楊梅工業區,頭重溪,楊梅交流道,大金山,楊明國中,楊新北路,楊梅火車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301A,壽山高中,龜山,陸光二村,拔仔埔,頂興路口,萬壽山鶯路口,東山里,桃花園飯店,新光大樓,台電大樓,振聲中學,土地改革館,中山正光路口,中山中平路口,中山國小,武陵高中,宏太社區,茄苳溪,明光社區,中華路,高城居易社區,龍祥里,中華龍壽街口,桃園醫院,漁管處,內壢,內壢火車站,上內壢,日月光公司,自立新村,內壢國中,中壢工業區,南園路口,中原,台灣拉鍊,中壢簡易庭,中壢聯合辦公大樓,新街,中壢監理站,延平中山路口,中壢分局,中壢家商,新勢國小(新勢公園),水利會,平安新村,大昌路口,宋屋,新光,六房,掬水軒,自來水廠,平鎮新村,仁美路,埔心火車站,永美,四維新村,瑞塘里,楊梅工業區,頭重溪,楊梅交流道,大金山,楊明國中,楊新北路,楊梅火車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L601,新屋區公所,新屋區農會,新屋分院,新屋國中,聖心幼兒園,中山路,天水行,三民路,豫章加油站,金百利公司,東明里一鄰,銀店,新屋工業區,呂厝,泰安碾米廠,社子農會,社子里十鄰,中興路1436巷,民有路口,富岡活動中心,伯公岡公園,大井頭,富岡火車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L603,富岡火車站,大井頭,富岡國小,朝靈宮,中正路420巷口,富岡國中,富岡休閒農場,三申機械,新復興公司,望間橋,民有一路1230號,十五間,望間里活動中心,彭厝,羅厝,新湖路口,上大坡,民有二路一段801巷,大坡國小,大坡(一),莊厝,大坡里六鄰,洽溪口,桃園區農業改良場,後庄里林厝,後庄里社區活動中心,後庄里姜厝,後庄社區,蚵間國小,昭明宮,埔頂社區,三塊厝,蚵間活動中心,許厝,東福路三段,蚵間里,蚵間里福興宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L603A,富岡火車站,大井頭,富岡國小,朝靈宮,中正路420巷口,富岡國中,富岡休閒農場,三申機械,新復興公司,望間橋,民有一路1230號,十五間,望間里活動中心,彭厝,羅厝,新湖路口,上大坡,民有二路一段801巷,大坡國小,大坡(一),莊厝,大坡里六鄰,洽溪口,桃園區農業改良場,後庄里林厝,後庄里社區活動中心,後庄里姜厝,後庄社區,蚵間國小,昭明宮,埔頂社區,三塊厝,蚵間活動中心,許厝,東福路三段,蚵間里,蚵間里福興宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L603B,富岡火車站,大井頭,富岡國小,朝靈宮,中正路420巷口,富岡國中,富岡休閒農場,三申機械,新復興公司,望間橋,民有一路1230號,十五間,望間里活動中心,彭厝,羅厝,新湖路口,上大坡,民有二路一段801巷,大坡國小,大坡(一),莊厝,大坡里六鄰,洽溪口,桃園區農業改良場,後庄里林厝,後庄里社區活動中心,後庄里姜厝,後庄社區,蚵間國小,昭明宮,埔頂社區,三塊厝,蚵間活動中心,許厝,東福路三段,蚵間里,蚵間里福興宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L602,富岡火車站,大井頭,富岡國小,朝靈宮,中正路420巷口,富岡國中,富岡休閒農場,三申機械,新復興公司,望間橋,民有一路1230號,十五間,望間里活動中心,彭厝,羅厝,新湖路口,上大坡,民有二路一段801巷,大坡國小,大坡(二),大坡農會,大坡國中,游屋莊,蚵四號池,范厝,香坡華城,李厝,笨港國小,笨仔港,李厝3,士林紙廠,士林紙廠,李厝3,笨仔港,笨港國小,埔子頂,榕樹下,深圳頭,李厝2,張厝,王厝店,深圳,十二號坡,蚵間,昭明宮,埔頂社區,三塊厝,蚵間活動中心,許厝,東福路三段,蚵間里,蚵間里福興宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L602A,富岡火車站,大井頭,富岡國小,朝靈宮,中正路420巷口,富岡國中,富岡休閒農場,三申機械,新復興公司,望間橋,民有一路1230號,十五間,望間里活動中心,彭厝,羅厝,新湖路口,上大坡,民有二路一段801巷,大坡國小,大坡(二),大坡農會,大坡國中,游屋莊,蚵四號池,范厝,香坡華城,李厝,笨港國小,笨仔港,李厝3,士林紙廠,永安橋,西濱路口,永安,永和一,永和,永安漁港,永和,永和一,永安,西濱路口,永安橋,士林紙廠,李厝3,笨仔港,笨港國小,埔子頂,榕樹下,深圳頭,李厝2,張厝,王厝店,深圳,十二號坡,蚵間,昭明宮,埔頂社區,三塊厝,蚵間活動中心,許厝,東福路三段,蚵間里,蚵間里福興宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L602B,富岡火車站,大井頭,富岡國小,朝靈宮,中正路420巷口,富岡國中,富岡休閒農場,三申機械,新復興公司,望間橋,民有一路1230號,十五間,望間里活動中心,彭厝,羅厝,新湖路口,上大坡,民有二路一段801巷,大坡國小,大坡(二),大坡農會,大坡國中,游屋莊,蚵四號池,范厝,香坡華城,李厝,笨港國小,笨仔港,李厝3,士林紙廠,永安橋,西濱路口,永安,永和一,永和,動保園區,永安漁港,永和,永和一,永安,西濱路口,永安橋,士林紙廠,李厝3,笨仔港,笨港國小,埔子頂,榕樹下,深圳頭,李厝2,張厝,王厝店,深圳,十二號坡,蚵間,昭明宮,埔頂社區,三塊厝,蚵間活動中心,許厝,東福路三段,蚵間里,蚵間里福興宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L605,新屋區公所,電信局,中山路,紅泥坡,清華里,頂紅泥坡,北勢,富九,和泰,中山東路二段528巷,頭洲新城,黎頭洲,志欣,下富源,富泰公司,中壢好市多,橡樹公司,寶祥,松勤松義三街口,松仁松信路口,高鐵南過嶺路口,善果林,高鐵南中正路口站,聖德路口,桃園國際棒球場,捷運桃園體育園區站,高鐵南文德路口,高鐵南永興路口,高鐵桃園站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
