車次,站點1,站點2,站點3,站點4,站點5,站點6,站點7,站點8,站點9,站點10,站點11,站點12,站點13,站點14,站點15,站點16,站點17,站點18,站點19,站點20,站點21,站點22,站點23,站點24,站點25,站點26,站點27,站點28,站點29,站點30,站點31,站點32,站點33,站點34,站點35,站點36,站點37,站點38,站點39,站點40,站點41,站點42,站點43,站點44,站點45,站點46,站點47,站點48,站點49,站點50,站點51,站點52,站點53,站點54,站點55,站點56,站點57,站點58,站點59,站點60,站點61,站點62,站點63,站點64,站點65,站點66,站點67,站點68,站點69,站點70,站點71,站點72,站點73,站點74,站點75,站點76,站點77,站點78,站點79,站點80,站點81,站點82,站點83,站點84,站點85,站點86,站點87,站點88,站點89,站點90,站點91,站點92,站點93,站點94,站點95,站點96,站點97,站點98,站點99,站點100,站點101,站點102,站點103,站點104,站點105,站點106,站點107,站點108,站點109,站點110,站點111,站點112,站點113,站點114,站點115,站點116,站點117,站點118,站點119,站點120,站點121,站點122,站點123,站點124,站點125,站點126,站點127,站點128,站點129,站點130,站點131,站點132,站點133,站點134,站點135,站點136,站點137,站點138,站點139,站點140,站點141,站點142,站點143,站點144,站點145,站點146,站點147,站點148,站點149,站點150,站點151,站點152,站點153,站點154,站點155,站點156,站點157,站點158
168,桃園後火車站,桃鶯路口,建國東興隆路口,明碁電腦,山鶯萬壽路口,桃園巨蛋,虎頭山創新園區,桃園高中,技訓中心,桃園榮民醫院,北區國稅局(大有路),新光三越,寶山街口,公園都市,會稽國中,大興大業路口,大興春日路口,敏盛醫院,巴黎富邑,南平同安街口,南平中正路口,中正藝文特區,城市大亨,中埔一街口,寶慶路口,大興西永安路口,大興西正光路口,臺灣桃園地方法院檢察署,亞洲高球場,國際路,國際路二段,國泰駕訓班,中山國小,武陵高中,宏太社區,茄苳溪,明光社區,中華路,高城居易社區,龍祥里,中華龍壽街口,桃園醫院,漁管處,內壢,內壢火車站,上內壢,內壢家樂福,內壢復興宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168A,桃園後火車站,桃鶯路口,大林寺,薇爾文教機構,龜山工業區服務中心,興邦建國路口,明碁電腦,山鶯萬壽路口,桃園巨蛋,虎頭山創新園區,桃園高中,技訓中心,桃園榮民醫院,北區國稅局(大有路),新光三越,寶山街口,公園都市,會稽國中,大興大業路口,大興春日路口,敏盛醫院,巴黎富邑,南平同安街口,南平中正路口,中正藝文特區,城市大亨,中埔一街口,寶慶路口,大興西永安路口,大興西正光路口,臺灣桃園地方法院檢察署,亞洲高球場,國際路,國際路二段,國泰駕訓班,中山國小,武陵高中,宏太社區,茄苳溪,明光社區,中華路,高城居易社區,龍祥里,中華龍壽街口,桃園醫院,漁管處,內壢,內壢火車站,上內壢,內壢家樂福,內壢復興宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,中壢客運中壢總站,第一銀行,大同路,永珍,新生路,中美路口,SOGO百貨(新生路),環北路口,變電所,興國里,公坡,興南國中,興南,六和紡織,六和機械,聖德基督學院,水圳頭,水尾,新宙公司,福安宮,頂青埔,青埔社區,廣天寺,青埔,青埔致遠一路口,中厝,高鐵桃園站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,中央大學警衛室,中大湖,中央大學依仁堂,中央大學後門,中央大學觀景台,中央大學正門,潤泰公司,三座厝,三民里,崎頂,三宏,水圳頭,內厝,聖德路口,捷運桃園體育園區站,永裕路口,青埔國中,高鐵桃園站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,桃園後站,建國國小,桃園婦女館,延平路口,福豐國中,旭登護理之家,育青駕訓班,力行街口,利台,桃園監理站,介壽保羅街口,介壽建國路口,民族路口,南華街口,南門市場,中山三民路口,中山育樂街口,桃園市政府,土地改革館,正光法治路口,向陽運動公園,桃園市政府消防局,力行路口,蓮華寺,永安溫州街口,南埔里活動中心,永安路口,寶慶路口,中埔一街口,中正藝文特區,南平中正路口,南平同安街口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,桃園後站,聖保祿醫院,建國路,民族路口,南華街口,南門市場,中山三民路口,中山育樂街口,桃園市政府,土地改革館,中山正光路口,中山中平路口,中山國小,武陵高中,宏太社區,龍安街14巷,龍安市場,合作金庫,龍安街,文中路橋,文山國小(中興國中),向陽運動公園,桃園市政府消防局,力行路口,蓮華寺,永安溫州街口,南埔里活動中心,永安路口,寶慶路口,中埔一街口,中正藝文特區,南平中正路口,南平同安街口,經國南平路口,中悅春天,經國莊敬路口,經國轉運站(幸福路口),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,體育大學行政教學大樓,長庚科技大學,長庚大學,國立體育大學體育館,文青二文藝街口,文青一文青二路口,文學路口,文青二路口,捷運體育大學站,高正鋼鐵,樂善國小,文明路,南亞塑膠,林口長庚醫院,大坪頂公園,文華國小,文化七路,大湖,婦幼館,工四工業區,頂湖路,頂湖二街,頂湖九街,長庚醫院桃園分院,西勢湖,大埔橋,大埔國小,振天宮,大埔,國立體育大學體育館,體育大學行政教學大樓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,捷運高鐵桃園站,民生社區,福德宮,大安街口,大成大智路口,大園國際高中,創價學會,青昇一街口,青昇宮,青昇路一段132巷口,岡崎,上岡崎,寶城,鄉界,大江購物中心,謝厝,賴厝,萬能科技大學,桃園大圳橋,大塚製藥,台熱公司,文化派出所,吉林路口,文化公園,內壢復興宮,內壢家樂福,上內壢,內壢火車站,內壢,元智大學,興仁國小,興仁公園,篤行五村,中正國小,榮民永褔路口,榮民南路65巷口,華勛國小,榮民南路,金車公司,榮民南仁慈路口,榮民南華勛街口,陸軍專科學校,中堅,崁頂路,桃園北區客家會館,霄裡,霄裡農會,吳厝,竹頭坡,新明公司,連城橋(姜太公廟),長興二路口,建德公園,長興一廣興二路口,長興仁德路口,仁德廣興路口,仁德公園,崙子路口,八德教養院,八德區公所(三元宮),興仁里,遠雄艾菲爾,墨爾本社區,介壽豐德路口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208A,捷運高鐵桃園站,民生社區,福德宮,大安街口,大成大智路口,大園國際高中,創價學會,青昇一街口,青昇宮,青昇路一段132巷口,岡崎,上岡崎,寶城,鄉界,大江購物中心,謝厝,賴厝,萬能科技大學,桃園大圳橋,玉尊宮,啟英高中,中福派出所,中園福州二街口,中園育樂街口,中原,中壢工業區,內壢國中,自立新村,日月光公司,上內壢,內壢火車站,內壢,漁管處,桃園醫院,新興高中,國聯街口,泰豐街口,聯明街口,寶豐街口,元聖宮,廣興路口,中祥食品,廣福路530巷,廣福路389巷,廣福路(廣隆街口),景雲新村,大湳市場,瑞祥社區,鴻昌社區,麻園站(G03),梅花社區,欣桃社區,松柏園,瑞豐國小(桃園防災教育館),瑞發家園,更寮腳(興豐路),聯福巷,興豐友聯街口,八德國中,八德區公所(農會),興仁里,豐德中正路口,深耕十期社區,建德興豐路口(G01),建德長興路口,溪濱公園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,同心一路,龜山國中,千禧新城,自強萬壽路口,覺海寺,大同路口,龜山國小,中華街口,中興路口,拔仔埔,頂興路口,桃園巨蛋,虎頭山創新園區,桃園高中,技訓中心,桃園榮民醫院,北區國稅局(大有路),新光三越,寶山街口,椰林書鄉,民有十三街口,大業路郵局,福山街口,大興春日路口,敏盛醫院,巴黎富邑,南平同安街口,南平中正路口,南平中埔六街口,同德國中,南平路口,寶慶安慶街口,中國江山,日昇大道,莊敬敬三街口,莊敬敬二街口,中正莊二街口,中正橋,中正北路320巷,南竹路口,奉化南順一街口,奉化忠孝西路口,麗寶經典,光明郵局,光明國小,土地公廟,忠孝東橋,南上路口,長榮吉邸,南崁國小,中山長春路口,長榮花園,歐洲之星,六福中山路口,六福油管路口,南山長榮路口,內厝橋,埔尾,水泥公司,中崙公司,公埔,佑新公司,群鹿公司,山鼻,捷運山鼻站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209A,同心一路,龜山國中,千禧新城,自強萬壽路口,覺海寺,大同新村,德明路口,資管大樓,銘傳大學,銘傳大學一,德明路口,大同新村,大同路口,龜山國小,中華街口,中興路口,拔仔埔,頂興路口,桃園巨蛋,虎頭山創新園區,桃園高中,技訓中心,桃園榮民醫院,北區國稅局(大有路),新光三越,寶山街口,椰林書鄉,民有十三街口,大業路郵局,福山街口,大興春日路口,敏盛醫院,巴黎富邑,南平同安街口,南平中正路口,南平中埔六街口,同德國中,南平路口,寶慶安慶街口,中國江山,日昇大道,莊敬敬三街口,莊敬敬二街口,中正莊二街口,中正橋,中正北路320巷,南竹路口,奉化南順一街口,奉化忠孝西路口,麗寶經典,光明郵局,光明國小,土地公廟,忠孝東橋,南上路口,長榮吉邸,南崁國小,中山長春路口,長榮花園,歐洲之星,六福中山路口,六福油管路口,南山長榮路口,內厝橋,埔尾,水泥公司,中崙公司,公埔,佑新公司,群鹿公司,山鼻,捷運山鼻站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209B,同心一路,龜山國中,千禧新城,自強萬壽路口,覺海寺,大同路口,龜山國小,中華街口,中興路口,拔仔埔,頂興路口,桃園巨蛋,虎頭山創新園區,桃園高中,技訓中心,桃園榮民醫院,北區國稅局(大有路),新光三越,寶山街口,椰林書鄉,民有十三街口,大業路郵局,福山街口,大興春日路口,敏盛醫院,巴黎富邑,南平同安街口,南平中正路口,南平中埔六街口,同德國中,南平路口,寶慶安慶街口,中國江山,日昇大道,莊敬敬三街口,莊敬敬二街口,中正莊二街口,中正橋,中正北路320巷,南竹路口,奉化南順一街口,奉化忠孝西路口,麗寶經典,光明郵局,光明國小,土地公廟,忠孝東橋,南上路口,長榮吉邸,南崁國小,中山長春路口,長榮花園,歐洲之星,六福中山路口,六福油管路口,南山長榮路口,內厝橋,埔尾,水泥公司,中崙公司,公埔,佑新公司,群鹿公司,山鼻,捷運山鼻站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
